id_caso,pregunta_o_texto,respuesta_o_categoria_esperada,documento_fuente,seccion_fuente,observacion
GS-001,¿Con cuánta anticipación debo solicitar vacaciones?,15 días calendario,POL-GTH-01_Vacaciones.pdf,3.1,Caso con respuesta explícita en el documento
GS-002,¿Cuánto me reconocen de hospedaje en un municipio no capital?,$180.000 diarios,POL-ADM-04_Viaticos.pdf,3,Verificar que no confunda con el valor de ciudad capital
GS-003,¿Puedo trabajar desde casa tres días a la semana?,SIN EVIDENCIA EN LOS DOCUMENTOS,,,Caso de abstención — no existe política de teletrabajo en el corpus
GS-004,Mi portátil no enciende desde ayer,Hardware,,,Caso de clasificación
GS-005-TK-00378,Me negaron las vacaciones solicitadas Se adjunta captura de pantalla del mensaje de error recibido.,Vacaciones,,,Caso de clasificación (categoria cruda: VACACIONES)
GS-006-TK-01118,Puedo dividir mis vacaciones en dos periodos Se adjunta captura de pantalla del mensaje de error recibido.,Vacaciones,,,Caso de clasificación (categoria cruda: VACACIONES)
GS-007-TK-00183,El teclado dejó de responder El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Hardware,,,Caso de clasificación (categoria cruda: Hardware)
GS-008-TK-01349,El portátil no enciende desde ayer El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Hardware,,,Caso de clasificación (categoria cruda: HARDWARE)
GS-009-TK-00452,Error al guardar el formulario de ingreso Requerimiento remitido por la jefatura del área para gestión.,Software,,,Caso de clasificación (categoria cruda: SOFTWARE)
GS-010-TK-01635,La aplicación se cierra al generar el informe El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Software,,,Caso de clasificación (categoria cruda: Software)
GS-011-TK-00614,Se bloqueó mi usuario tras varios intentos Requerimiento remitido por la jefatura del área para gestión.,Gestión de accesos,,,Caso de clasificación (categoria cruda: Accesos)
GS-012-TK-01847,Necesito acceso a la carpeta compartida de mi área Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,Gestión de accesos,,,Caso de clasificación (categoria cruda: ACCESOS)
GS-013-TK-01120,Cuál es el monto autorizado para hospedaje El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Viáticos,,,Caso de clasificación (categoria cruda: Viáticos)
GS-014-TK-01552,Cómo legalizo los viáticos del viaje a la costa Se solicita atención prioritaria porque afecta la operación del área y el cierre del periodo.,Viáticos,,,Caso de clasificación (categoria cruda: Viáticos)
GS-015-TK-00417,Muy lenta la conexión en la bodega El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Conectividad,,,Caso de clasificación (categoria cruda: Conectividad)
GS-016-TK-00862,Sin internet en el segundo piso El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Conectividad,,,Caso de clasificación (categoria cruda: Red)
GS-017-TK-01545,Necesito cotización para equipos de la bodega El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Compras,,,Caso de clasificación (categoria cruda: Compras)
GS-018-TK-01244,Estado de la orden de compra 4471 El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Compras,,,Caso de clasificación (categoria cruda: compras)
GS-019-TK-00855,El proveedor no ha entregado lo solicitado El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Compras,,,Caso de clasificación (categoria cruda: compras)
GS-020-TK-01025,Pérdida de información en el módulo de inventario,Incidentes,,,Caso de clasificación (categoria cruda: incidente)
